fecha_inicio,fecha_final,descargado
2014-11-02T01:00:00UTC,2015-05-01T01:00:00UTC,True
2015-05-01T01:00:00UTC,2015-10-28T01:00:00UTC,False
2015-10-28T01:00:00UTC,2016-04-25T01:00:00UTC,False
2016-04-25T01:00:00UTC,2016-10-22T01:00:00UTC,False
2016-10-22T01:00:00UTC,2017-04-20T01:00:00UTC,False
2017-04-20T01:00:00UTC,2017-10-17T01:00:00UTC,False
2017-10-17T01:00:00UTC,2018-04-15T01:00:00UTC,False
2018-04-15T01:00:00UTC,2018-10-12T01:00:00UTC,True
2018-10-12T01:00:00UTC,2019-04-10T01:00:00UTC,True
2019-04-10T01:00:00UTC,2019-10-07T01:00:00UTC,True
2019-10-07T01:00:00UTC,2020-04-04T01:00:00UTC,True
2020-04-04T01:00:00UTC,2020-10-01T01:00:00UTC,False
2020-10-01T01:00:00UTC,2021-03-30T01:00:00UTC,True
2021-03-30T01:00:00UTC,2021-09-26T01:00:00UTC,False
